Image #,Scale,PSNR
1.0,2.0,29.638301404767308
1.0,3.0,35.76151143507217
1.0,4.0,26.549009422724588
2.0,2.0,25.67540915327935
2.0,3.0,26.42056313284933
2.0,4.0,23.515434073590722
3.0,2.0,40.55381262673207
3.0,3.0,26.794314406956996
3.0,4.0,24.265960560678046
4.0,2.0,29.593143162144194
4.0,3.0,25.306821233592657
4.0,4.0,33.15248509004028
5.0,2.0,29.302883566285303
5.0,3.0,34.41126017688478
5.0,4.0,26.217657602513196
